PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
BLAIRSVILLE,0.00,12.00,15.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,319.0,264.0,0.00,1.00,0.00,615.0
COOSA,0.00,13.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,320.0,291.0,0.00,0.00,0.00,640.0
CHOESTOE,1.00,6.00,13.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,196.0,199.0,0.00,0.00,0.00,417.0
JONES CREEK,0.00,18.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,284.0,283.0,0.00,0.00,0.00,603.0
OWLTOWN,1.00,10.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,2.00,0.00,1.00,238.0,213.0,0.00,0.00,0.00,488.0
IVY LOG,0.00,7.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,274.0,260.0,0.00,0.00,0.00,557.0
SUCHES,0.00,4.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,91.00,0.00,0.00,0.00,203.0
TRACKROCK,0.00,6.00,6.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,166.0,160.0,0.00,0.00,0.00,340.0
DOOLEY,0.00,13.00,23.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,1.00,0.00,1.00,170.0,159.0,0.00,0.00,0.00,371.0
GUMLOG,0.00,9.00,19.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,241.0,245.0,0.00,0.00,0.00,515.0
PAT COLWELL,0.00,22.00,12.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,312.0,276.0,0.00,0.00,0.00,626.0
TOTAL,2.00,120.0,160.0,0.00,4.00,3.00,0.00,1.00,0.00,0.00,10.00,6.00,0.00,6.00,0.00,2.00,2619.0,2441.0,0.00,1.00,0.00,5375.0
