AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,9.0,924.0,1088.0,0.0,44.0,40.0,0.0,5.0,4.0,0.0,77.0,61.0,0.0,37.0,27.0,6.0,1938.0,1811.0,3.0,511.0,466.0,7051.0
25-29,3.0,541.0,553.0,0.0,31.0,28.0,0.0,1.0,1.0,0.0,69.0,43.0,1.0,21.0,31.0,2.0,1615.0,1484.0,0.0,511.0,369.0,5304.0
30-34,0.0,454.0,434.0,0.0,32.0,15.0,0.0,1.0,1.0,0.0,42.0,33.0,0.0,30.0,27.0,2.0,1660.0,1502.0,1.0,463.0,331.0,5028.0
35-39,1.0,421.0,447.0,1.0,22.0,22.0,0.0,2.0,2.0,0.0,58.0,33.0,0.0,14.0,14.0,0.0,1804.0,1516.0,0.0,494.0,294.0,5145.0
40-44,1.0,434.0,402.0,0.0,22.0,14.0,0.0,3.0,5.0,0.0,39.0,31.0,0.0,25.0,16.0,0.0,1808.0,1603.0,0.0,465.0,330.0,5198.0
45-49,2.0,435.0,474.0,0.0,22.0,23.0,0.0,4.0,1.0,0.0,23.0,38.0,0.0,18.0,14.0,1.0,2230.0,1917.0,0.0,528.0,363.0,6093.0
50-54,1.0,439.0,413.0,0.0,18.0,15.0,0.0,2.0,3.0,0.0,28.0,30.0,0.0,14.0,16.0,0.0,2137.0,1997.0,0.0,554.0,396.0,6063.0
55-59,1.0,360.0,400.0,0.0,13.0,12.0,0.0,1.0,1.0,0.0,23.0,26.0,0.0,17.0,13.0,0.0,2058.0,1983.0,0.0,408.0,341.0,5657.0
60-64,2.0,272.0,303.0,1.0,12.0,13.0,0.0,0.0,1.0,0.0,17.0,8.0,0.0,19.0,8.0,2.0,1890.0,1702.0,0.0,331.0,249.0,4830.0
65-OVER,2.0,740.0,618.0,0.0,26.0,18.0,0.0,0.0,1.0,0.0,33.0,33.0,0.0,15.0,20.0,3.0,5350.0,4432.0,0.0,716.0,460.0,12467.0
TOTAL,22.0,5020.0,5132.0,2.0,242.0,200.0,0.0,19.0,20.0,0.0,409.0,336.0,1.0,210.0,186.0,16.0,22490.0,19947.0,4.0,4981.0,3599.0,62836.0
