AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,1.0,11.0,16.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,7.0,5.0,0.0,1.0,2.0,1.0,128.0,135.0,0.0,68.0,62.0,441.0
25-29,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,108.0,106.0,0.0,74.0,62.0,361.0
30-34,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,111.0,84.0,0.0,67.0,35.0,310.0
35-39,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,117.0,116.0,0.0,47.0,31.0,323.0
40-44,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,110.0,97.0,0.0,62.0,50.0,325.0
45-49,0.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,119.0,112.0,0.0,65.0,42.0,351.0
50-54,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,117.0,0.0,64.0,47.0,353.0
55-59,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,148.0,125.0,0.0,68.0,47.0,395.0
60-64,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,133.0,137.0,0.0,69.0,46.0,394.0
65-OVER,0.0,5.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,464.0,392.0,0.0,159.0,117.0,1157.0
TOTAL,2.0,33.0,50.0,0.0,7.0,4.0,0.0,2.0,2.0,0.0,20.0,15.0,0.0,6.0,7.0,1.0,1558.0,1421.0,0.0,743.0,539.0,4410.0
