COUNTY NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
APPLING,12.50,18.66,3.950,0.00,0.00,25.26,5.670,22.32
ATKINSON,50.00,20.45,5.710,0.00,13.33,17.74,1.810,16.99
BACON,5.880,8.490,1.430,20.00,5.260,17.83,6.970,15.58
BAKER,0.00,16.65,0.00,0.00,16.67,20.16,8.860,18.03
BALDWIN,7.810,19.57,8.720,3.700,4.810,23.03,6.780,20.61
BANKS,4.650,10.80,5.230,0.00,11.11,26.70,7.490,24.28
BARROW,3.110,11.79,3.930,5.260,4.050,15.86,6.260,13.57
BARTOW,4.470,10.58,4.350,7.250,6.790,14.81,5.580,12.94
BEN HILL,6.670,14.39,2.480,0.00,13.79,18.62,5.180,16.43
BERRIEN,0.00,13.43,5.560,7.690,8.890,21.44,6.100,19.65
BIBB,5.730,19.44,6.640,10.68,7.800,25.52,7.710,20.84
BLECKLEY,9.090,13.11,10.53,0.00,16.00,32.56,11.11,27.46
BRANTLEY,0.00,12.54,2.040,0.00,3.030,16.66,4.160,15.67
BROOKS,12.90,11.43,5.190,0.00,10.00,23.50,10.18,17.98
BRYAN,3.440,15.25,6.350,7.020,6.840,13.48,6.540,12.52
BULLOCH,5.780,16.12,5.950,5.000,7.750,20.96,8.050,17.99
BURKE,5.000,15.53,10.10,0.00,9.380,17.92,3.690,15.55
BUTTS,6.670,15.09,5.190,8.330,6.360,17.75,9.560,16.20
CALHOUN,12.50,20.39,11.11,0.00,0.00,21.45,2.940,20.10
CAMDEN,14.42,14.92,5.240,2.000,7.610,17.56,7.330,14.65
CANDLER,15.00,16.42,5.130,33.33,0.00,20.34,3.400,17.37
CARROLL,7.560,10.34,5.480,4.940,8.840,20.72,9.880,17.45
CATOOSA,5.930,8.810,6.290,3.030,3.240,13.21,5.070,11.80
CHARLTON,12.50,21.36,4.550,0.00,18.18,14.94,6.620,15.05
CHATHAM,4.950,16.67,5.040,7.250,8.120,17.64,7.560,15.90
CHATTAHOOCHEE,0.00,9.890,0.00,20.00,0.00,3.760,1.270,4.680
