AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.0,1.18,0.0,0.0,0.0,6.9,0.0,3.41
25-29,0.0,1.45,0.0,0.0,0.0,2.2,0.0,1.76
30-34,0.0,2.44,0.0,0.0,0.0,9.23,0.0,5.16
35-39,0.0,5.56,0.0,0.0,50.0,10.13,0.0,8.28
40-44,0.0,4.62,0.0,0.0,0.0,14.29,0.0,9.52
45-49,0.0,3.45,0.0,0.0,0.0,19.79,0.0,12.73
50-54,0.0,4.88,0.0,0.0,0.0,24.3,33.33,16.06
55-59,0.0,8.62,0.0,0.0,0.0,35.78,0.0,21.21
60-64,0.0,11.58,0.0,0.0,0.0,36.73,0.0,23.38
65-OVER,0.0,14.22,0.0,0.0,0.0,35.52,5.56,26.44
TOTAL,0.0,7.32,0.0,0.0,16.67,23.78,2.5,15.67
