PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
1,0.00,3.270,0.00,0.00,0.00,11.25,3.420,8.320
10,0.00,6.340,6.000,0.00,0.00,11.76,6.440,10.37
2,0.00,2.500,4.760,0.00,11.11,11.50,2.400,9.390
3,0.00,1.630,0.00,0.00,0.00,8.700,3.070,7.060
4,0.00,1.370,6.780,0.00,3.570,6.390,1.330,4.450
5,1.470,3.400,0.560,0.00,2.330,6.670,1.210,4.880
6,4.760,3.660,5.260,14.29,9.090,15.47,6.250,13.65
7,0.00,6.140,6.250,12.50,0.00,11.39,6.190,9.990
8,0.00,3.900,2.210,0.00,7.890,11.62,5.010,9.470
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,2.860,0.690,0.00,0.00,2.860,6.850,1.350,4.600
TOTAL,0.860,3.120,2.760,3.510,3.410,10.58,3.780,8.420
