PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
ALEXANDER,7.91,7.41,0.00,7.65
FOUR POINTS,8.99,8.57,0.00,8.75
GIRARD,7.79,8.09,0.00,7.93
GOUGH,13.76,10.28,0.00,11.91
GREENSCUT,13.03,10.29,0.00,11.56
KEYSVILLE,6.97,8.88,0.00,7.95
MIDVILLE,11.17,10.86,0.00,11.01
MUNNERLYN,11.11,14.81,0.00,12.90
SARDIS,9.81,6.71,0.00,8.11
SCOTTS CROSSROADS,8.26,9.59,0.00,9.02
TELFAIR,6.80,6.44,0.00,6.62
ST. CLAIR,12.57,10.76,0.00,11.59
VIDETTE,21.38,20.78,0.00,21.07
NORTH WAYNESBORO,6.30,5.19,0.00,5.65
SOUTH WAYNESBORO,13.23,10.42,0.00,11.64
BLAKENEY,8.68,5.93,0.00,6.98
TOTAL,9.93,8.50,0.00,9.15
