PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
1-01C,14.77,13.28,12.50,13.96
1-05C,14.15,10.83,0.00,12.39
1-06C,17.24,18.91,0.00,18.11
1-08C,13.20,13.39,0.00,13.28
1-09C,6.080,8.750,0.00,7.440
1-10C,22.29,20.56,0.00,21.35
1-12C,26.38,21.56,50.00,23.88
1-13C,11.31,13.25,0.00,12.37
1-14C,15.66,15.66,0.00,15.63
1-16C,20.52,19.53,0.00,19.96
1-17C,15.86,14.42,0.00,15.05
2-02C,4.500,4.970,0.00,4.740
2-03C,4.470,6.080,0.00,5.230
2-04C,3.920,8.540,0.00,6.340
2-05C,6.650,8.970,0.00,7.790
2-06C,1.400,4.340,0.00,2.970
2-07C,5.210,8.570,0.00,7.080
2-09C,5.680,8.220,0.00,7.030
2-11C,4.400,8.330,16.67,6.590
2-12C,4.580,5.300,0.00,4.920
3-01C,8.960,11.67,0.00,10.22
3-02C,10.43,9.920,25.00,10.21
3-03C,2.030,4.450,0.00,3.440
3-04C,6.640,13.48,0.00,10.43
3-05C,4.190,5.850,0.00,5.090
3-08C,8.960,10.46,0.00,9.760
3-09C,20.20,22.77,0.00,21.44
3-10C,6.880,10.11,0.00,8.640
3-11C,5.430,8.720,0.00,7.210
3-12C,11.83,13.35,0.00,12.65
3-13C,5.200,5.470,0.00,5.340
3-14C,8.020,11.31,0.00,9.730
3-15C,18.71,16.44,0.00,17.46
4-02C,9.200,9.230,0.00,9.210
4-04C,16.95,13.26,0.00,15.01
4-05C,12.99,10.98,0.00,11.89
4-06C,14.45,13.90,0.00,14.15
4-07C,13.60,11.07,0.00,12.21
4-08C,20.65,18.14,0.00,19.24
4-10C,19.83,15.20,0.00,17.34
4-11C,16.81,14.27,0.00,15.43
4-12C,24.93,21.59,0.00,23.11
4-13C,25.05,22.20,0.00,23.49
4-14C,22.44,19.17,0.00,20.72
4-15C,27.20,22.24,0.00,24.37
5-01C,6.740,7.690,0.00,7.260
5-02C,4.130,4.370,0.00,4.240
5-03C,5.820,7.540,0.00,6.730
5-05C,7.240,13.34,0.00,10.55
5-06C,4.990,6.470,0.00,5.780
5-07C,3.800,4.590,0.00,4.240
5-08C,7.700,9.170,0.00,8.530
5-10C,5.770,8.430,0.00,7.250
5-11C,6.010,7.420,0.00,6.830
6-01C,9.040,9.610,0.00,9.340
6-02C,21.40,21.47,0.00,21.38
6-03C,12.29,14.87,0.00,13.64
6-05C,7.480,11.03,0.00,9.410
6-06C,8.130,11.76,0.00,10.28
6-08C,5.890,7.550,0.00,6.870
6-09C,10.77,10.68,0.00,10.69
6-10C,10.98,10.39,0.00,10.66
6-11C,5.470,5.150,0.00,5.290
7-01C,10.40,11.46,0.00,10.95
7-03C,11.87,11.01,0.00,11.40
7-04C,3.850,4.330,0.00,4.110
7-05C,5.690,5.810,0.00,5.750
7-06C,7.010,5.830,0.00,6.340
7-07C,8.280,7.450,0.00,7.840
7-08C,9.900,9.060,0.00,9.470
7-09C,5.060,6.500,0.00,5.820
7-10C,5.500,4.810,0.00,5.110
7-11C,3.530,3.950,0.00,3.740
7-12C,6.810,6.290,12.50,6.550
7-13C,15.60,15.72,0.00,15.65
7-14C,5.950,7.920,13.33,7.050
7-15C,4.370,5.960,0.00,5.190
8-01C,2.010,1.900,0.00,1.940
8-02C,4.170,4.890,0.00,4.540
8-03C,7.550,10.20,0.00,8.880
8-05C,1.950,4.740,0.00,3.640
8-06C,3.740,7.810,0.00,5.920
8-07C,5.070,8.310,0.00,6.740
8-08C,5.120,9.020,0.00,7.240
8-09C,4.010,8.980,0.00,6.830
8-10C,5.020,10.53,0.00,7.910
8-11C,9.890,18.29,0.00,14.46
8-12C,3.430,5.880,0.00,4.710
8-13C,4.900,4.930,0.00,4.900
8-15C,3.270,7.470,0.00,5.560
88888,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00
TOTAL,9.500,10.11,2.170,9.820
