AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.29,1.11,0.55,0.0,1.08,2.5,1.2,1.52
25-29,0.0,1.01,0.57,0.0,0.5,1.56,1.12,1.21
30-34,0.65,2.31,0.83,0.0,1.83,2.89,1.19,2.39
35-39,1.48,3.53,1.4,4.35,4.48,4.67,1.78,3.83
40-44,1.9,4.66,2.45,0.0,3.95,6.4,1.78,5.15
45-49,5.03,7.59,2.21,0.0,2.53,9.2,2.95,7.87
50-54,2.14,8.81,1.91,0.0,9.92,11.63,4.26,9.67
55-59,3.43,10.82,3.2,9.09,3.9,15.15,5.43,12.44
60-64,3.57,14.15,4.85,0.0,8.91,19.95,4.77,16.51
65-OVER,6.23,20.79,9.31,17.86,10.98,28.58,9.86,24.98
TOTAL,2.28,7.41,1.92,2.68,3.44,13.41,3.28,9.82
