AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.0,1.37,0.0,0.0,0.0,17.24,0.0,5.22
25-29,0.0,2.59,0.0,0.0,0.0,0.0,0.0,2.03
30-34,0.0,6.8,0.0,0.0,0.0,4.0,0.0,6.02
35-39,0.0,11.34,0.0,0.0,0.0,20.41,0.0,14.09
40-44,0.0,4.17,0.0,0.0,0.0,11.11,0.0,6.56
45-49,0.0,10.45,0.0,0.0,0.0,22.92,10.0,15.2
50-54,0.0,18.07,0.0,0.0,0.0,12.5,0.0,14.97
55-59,0.0,21.95,0.0,0.0,0.0,33.33,0.0,26.39
60-64,0.0,24.71,0.0,0.0,0.0,46.15,0.0,33.73
65-OVER,0.0,23.89,0.0,0.0,0.0,43.06,0.0,34.32
TOTAL,0.0,14.15,0.0,0.0,0.0,32.15,1.61,20.99
