PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88888,0.00,100.0,0.00,0.00,0.00,inf00,inf00,350.0
AC1A,2.600,2.800,3.470,0.00,5.560,14.23,3.980,9.960
AC1B,1.430,1.560,1.590,0.00,0.00,12.57,4.790,8.940
AC1C,0.00,1.660,1.470,0.00,1.000,8.230,1.100,4.440
AD01,1.770,19.85,3.600,25.00,10.91,24.20,10.00,20.60
AU1A,2.170,2.210,1.840,14.29,1.060,12.20,2.140,4.410
BF02,1.830,15.06,5.220,11.11,7.410,20.14,4.000,16.27
BF03,7.350,9.100,4.420,0.00,13.79,16.68,2.910,13.71
BG01,0.00,0.230,2.110,0.00,7.320,13.94,2.650,9.850
BG02,2.040,5.100,3.280,25.00,5.560,16.38,4.940,12.78
BK01,2.000,1.830,1.880,0.00,2.020,9.970,1.830,6.080
BR01,2.700,1.420,2.170,0.00,6.000,19.35,3.620,9.140
BR02,4.310,2.950,3.450,50.00,12.68,14.60,1.040,8.580
BT01,0.00,3.840,0.00,0.00,0.00,16.67,0.00,4.270
BT02,0.00,1.730,0.00,7.690,0.00,6.100,0.290,1.760
BW01,3.080,13.46,7.220,50.00,16.92,21.93,3.160,17.17
CA01,1.110,2.950,1.640,0.00,2.030,5.330,1.080,3.730
CH02,0.00,3.720,11.36,16.67,7.690,20.61,5.600,16.88
CH03,3.700,4.260,2.630,0.00,12.28,21.11,6.590,16.10
CK01,3.420,1.480,3.150,0.00,3.390,11.89,2.790,7.490
CL01,0.00,2.440,1.650,0.00,6.450,13.14,0.00,7.090
CL02,0.00,2.310,2.260,0.00,6.450,18.42,3.640,7.480
CO01,1.520,1.850,1.580,11.11,1.640,16.46,0.830,5.200
CR01,2.440,20.91,11.67,33.33,19.05,27.37,12.14,25.00
DC01,8.900,11.00,3.170,50.00,17.50,26.06,12.14,23.01
DI01,1.960,0.900,0.350,0.00,0.00,6.670,0.390,2.480
DL01,1.540,4.030,3.770,0.00,3.770,17.85,1.430,12.71
DO01,7.190,9.760,6.250,66.67,28.57,26.99,6.170,23.62
DU01,0.00,2.420,5.560,50.00,3.700,15.18,3.900,13.08
DV01,8.330,15.29,2.900,0.00,15.38,21.28,6.720,18.71
EA01,8.240,26.19,9.840,0.00,27.78,28.71,13.50,26.08
EA02,6.620,20.54,6.140,0.00,12.50,26.78,9.440,24.02
EL01,0.00,0.580,1.480,0.00,1.980,7.670,1.380,3.820
EL02,9.880,17.31,7.410,12.50,7.840,23.13,4.580,20.07
EL03,5.980,15.29,7.220,0.00,8.510,24.77,10.00,21.43
EL04,4.130,8.740,2.900,0.00,11.11,22.36,1.700,14.46
EL05,5.100,14.01,6.540,0.00,15.71,22.83,9.150,19.63
EP01,1.890,4.110,3.070,0.00,3.330,16.63,4.600,10.58
FO02,0.560,2.420,0.610,10.00,6.360,16.91,0.660,6.450
FO04,4.100,1.320,0.380,0.00,2.130,15.06,0.620,5.310
FP01,4.860,17.97,7.530,0.00,10.96,23.88,9.230,19.89
FR01,13.33,4.630,5.750,33.33,0.00,15.56,5.590,13.57
FY01,0.00,0.970,6.740,0.00,4.760,17.99,7.530,13.96
GM01,6.580,18.48,11.58,0.00,6.000,22.45,11.04,20.35
GT01,8.620,10.94,6.530,7.690,12.82,21.48,7.270,17.91
HL01,1.960,3.350,1.160,0.00,3.060,10.25,1.360,4.830
HR01,5.410,3.090,1.450,0.00,11.11,22.91,7.320,19.95
HT01,4.550,21.47,15.25,33.33,14.75,23.66,9.500,21.69
HY01,2.000,2.490,5.510,16.67,7.270,18.20,4.410,14.71
JB13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KE1A,4.880,1.630,0.780,0.00,2.080,12.40,2.780,8.150
KE2A,2.470,4.520,2.900,0.00,6.490,14.13,1.870,10.17
KE3A,2.380,1.060,0.590,0.00,2.260,9.650,1.220,5.230
KE4A,3.480,1.830,3.720,0.00,9.410,14.35,4.910,10.37
KE5A,4.740,3.190,2.530,0.00,3.150,13.18,3.770,9.180
KL01,9.090,12.50,7.410,0.00,4.350,19.13,9.920,17.14
KP01,5.260,9.090,2.700,0.00,0.00,21.73,2.440,19.42
KP02,4.040,5.670,5.610,0.00,6.980,20.48,8.430,16.50
KP03,8.960,6.510,6.170,0.00,9.620,22.45,8.280,19.69
LA01,6.820,14.70,5.190,0.00,10.20,19.90,9.790,17.59
LI01,0.900,3.540,0.00,16.67,5.260,9.000,1.420,5.410
LM01,2.330,6.770,8.080,100.0,7.500,24.80,7.140,20.37
LM02,10.00,5.840,4.690,0.00,0.00,19.20,4.790,17.09
LM03,11.11,4.890,2.480,0.00,4.080,22.22,7.930,17.85
LM04,3.230,3.320,3.770,20.00,7.140,19.21,3.760,15.41
MA01,7.460,3.850,0.390,12.50,3.850,16.13,2.120,8.620
MA02,0.00,2.150,0.450,0.00,2.040,14.74,2.200,6.050
MA03,10.26,3.630,1.780,0.00,3.850,20.82,1.540,13.15
MA04,5.260,7.140,1.490,0.00,3.330,21.60,7.020,17.08
MB01,0.00,34.62,3.570,0.00,9.520,22.30,7.940,21.35
MC01,2.470,3.490,0.810,20.00,2.740,19.24,1.830,7.920
MD01,5.520,18.23,8.030,0.00,15.94,24.27,8.110,21.56
ME01,5.410,3.890,3.510,0.00,5.170,21.35,2.070,12.06
MK01,0.00,15.38,0.00,0.00,10.53,22.81,15.48,20.65
ML01,2.440,4.440,6.020,0.00,6.980,18.43,7.320,15.53
MR1A,1.390,0.980,0.550,0.00,2.270,11.21,0.350,4.780
MR2A,14.29,3.500,5.000,0.00,14.29,23.62,3.330,20.47
MR2B,6.020,2.690,1.440,0.00,5.480,24.41,4.200,13.00
MR3A,2.530,2.110,1.270,13.33,9.430,16.55,3.350,9.770
MR4A,12.50,28.57,0.00,0.00,14.29,30.57,19.30,29.51
MR4B,1.110,1.520,4.080,0.00,5.130,14.31,1.590,10.52
MR4C,2.780,3.220,4.550,0.00,0.00,21.86,6.480,17.96
MR5A,0.00,2.840,1.950,0.00,6.250,14.27,0.490,6.830
MR5B,1.470,1.390,0.650,0.00,2.630,4.610,0.470,2.320
MR6A,0.00,2.060,0.530,0.00,1.370,9.120,1.590,4.390
MR6B,3.400,20.51,12.82,0.00,10.91,23.71,7.140,20.36
MR7A,4.760,1.220,0.340,8.330,1.150,8.150,2.030,2.910
MS01,4.440,2.120,1.650,25.00,2.380,15.53,1.740,13.08
MS02,8.220,2.220,1.890,0.00,7.690,13.44,3.730,10.07
MT01,4.930,16.96,10.98,0.00,13.21,24.36,9.660,22.13
MT03,3.530,15.97,7.690,0.00,12.50,23.18,5.810,19.68
MT04,8.940,24.21,16.00,0.00,12.00,26.53,10.64,24.50
NC01,1.230,3.420,2.540,0.00,9.520,15.23,3.010,10.68
NJ01,0.690,2.340,2.600,0.00,1.590,5.390,1.830,3.460
NP01,6.150,1.640,0.230,0.00,2.040,15.17,2.210,8.280
NS01,2.700,15.56,1.790,0.00,2.000,19.43,3.080,16.69
OK01,4.920,3.050,2.480,14.29,8.110,13.68,2.720,9.740
OR01,10.26,6.020,0.00,50.00,5.000,25.34,16.07,20.71
OR02,1.630,3.310,0.430,14.29,2.560,15.46,2.240,6.580
OR03,0.00,1.010,0.320,0.00,2.910,11.09,1.780,4.240
OR04,2.940,2.520,1.790,9.090,2.060,16.59,1.570,6.840
OR05,1.750,4.500,2.520,100.0,4.760,21.96,5.710,13.77
PE01,3.450,2.600,0.490,9.090,2.600,14.76,0.00,4.820
PF01,2.500,2.870,3.230,0.00,5.000,15.67,1.220,12.00
PM01,4.900,3.380,5.260,0.00,8.160,17.85,7.180,14.96
PM02,2.410,2.620,6.150,0.00,7.890,26.54,11.57,22.99
PO01,1.530,16.04,7.620,22.22,12.86,20.51,5.330,18.34
PP01,6.540,13.84,9.590,0.00,12.73,22.14,5.620,19.31
PR01,6.250,3.270,5.690,0.00,15.38,17.74,4.650,14.02
PS1A,8.000,3.180,0.680,0.00,1.890,16.10,2.380,8.230
PS2A,4.550,2.380,1.350,0.00,1.790,14.13,1.640,4.940
PS3A,2.560,2.090,2.530,0.00,1.350,18.02,2.250,7.440
PT01,3.920,4.610,4.120,0.00,4.260,13.35,1.370,10.88
RM01,6.510,19.01,7.960,20.00,13.56,21.32,8.980,19.11
RS01,7.690,1.270,2.540,0.00,0.00,13.70,0.00,2.180
RW01,8.330,27.60,9.300,100.0,20.55,23.30,8.460,21.85
RW02,6.770,21.85,6.930,0.00,19.61,22.66,7.350,20.19
SA01,6.490,13.90,6.870,0.00,11.59,21.85,7.500,18.24
SF01,4.070,25.71,11.49,0.00,5.880,22.77,3.870,20.88
SI01,1.690,16.30,5.260,0.00,8.820,19.10,7.760,16.73
SM01,4.130,22.82,8.700,33.33,5.060,24.73,6.820,19.71
SM03,1.640,5.630,3.980,0.00,4.900,19.67,3.780,13.19
SN1A,2.600,3.010,1.500,0.00,5.100,11.17,0.650,5.520
SN2A,3.030,1.990,2.990,0.00,0.880,9.150,1.400,4.960
SN3A,2.050,3.320,1.520,0.00,3.250,12.10,1.510,7.820
SN4A,6.120,4.000,3.550,11.11,4.900,16.24,3.940,12.02
SN5A,0.960,2.910,1.600,0.00,1.470,12.80,1.970,6.920
SN6A,8.020,5.450,2.860,0.00,11.01,23.71,7.430,16.81
SN7A,1.190,3.590,1.900,0.00,3.150,9.250,4.170,6.220
SO01,9.380,29.71,9.620,60.00,11.11,30.71,12.00,28.66
SO02,4.780,9.480,8.630,6.670,6.900,22.01,5.960,17.79
SO03,5.360,9.410,5.800,16.67,25.45,22.85,9.360,20.07
SW01,4.350,2.880,1.540,11.11,8.000,18.52,1.390,9.850
SW02,4.550,1.820,1.120,0.00,0.00,11.47,1.560,4.320
TM01,1.160,1.530,1.290,0.00,4.760,15.21,1.690,7.000
TR01,4.880,20.00,4.440,0.00,16.67,27.26,9.090,24.54
VA01,7.140,8.820,14.71,0.00,13.16,20.45,6.350,18.29
VG01,0.00,3.310,0.00,20.00,0.00,10.77,3.290,7.520
VG02,2.470,2.110,2.080,0.00,1.610,10.18,1.340,6.390
VG03,1.710,3.200,0.900,25.00,3.900,13.37,3.040,8.640
VG04,3.850,1.530,5.480,20.00,8.890,21.97,3.160,16.82
WG02,2.560,2.330,0.870,40.00,4.710,14.48,3.780,9.570
WL01,6.170,28.57,14.55,0.00,10.00,21.27,6.940,20.14
TOTAL,3.990,3.620,2.830,6.950,6.270,18.42,3.970,12.21
