AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,21.0,18.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,4.0,0.0,152.0,205.0,0.0,8.0,8.0,432.0
25-29,0.0,11.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,135.0,124.0,0.0,1.0,8.0,296.0
30-34,0.0,14.0,19.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,5.0,0.0,4.0,3.0,0.0,197.0,225.0,0.0,3.0,3.0,481.0
35-39,0.0,20.0,21.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,5.0,0.0,334.0,297.0,0.0,28.0,19.0,737.0
40-44,0.0,20.0,31.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,7.0,3.0,1.0,396.0,360.0,0.0,42.0,18.0,890.0
45-49,0.0,28.0,39.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,12.0,4.0,0.0,536.0,569.0,0.0,32.0,16.0,1260.0
50-54,0.0,24.0,39.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,6.0,11.0,0.0,13.0,6.0,0.0,727.0,692.0,0.0,60.0,51.0,1635.0
55-59,0.0,22.0,31.0,0.0,8.0,7.0,0.0,1.0,0.0,0.0,4.0,8.0,0.0,13.0,10.0,1.0,909.0,966.0,0.0,71.0,49.0,2100.0
60-64,0.0,29.0,32.0,0.0,6.0,7.0,0.0,0.0,1.0,0.0,7.0,7.0,0.0,12.0,9.0,0.0,1085.0,1044.0,0.0,59.0,42.0,2340.0
65-OVER,0.0,107.0,95.0,0.0,11.0,16.0,0.0,0.0,5.0,0.0,8.0,13.0,0.0,35.0,27.0,0.0,2865.0,3204.0,0.0,113.0,111.0,6610.0
TOTAL,0.0,296.0,336.0,0.0,41.0,48.0,0.0,3.0,8.0,0.0,48.0,64.0,0.0,98.0,73.0,2.0,7336.0,7686.0,0.0,417.0,325.0,16781.0
