PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
MT. PLEASANT,0.00,11.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,3.00,0.00,0.00,0.00,0.00,247.0,224.0,0.00,29.00,29.00,560.0
RECOVERY,1.00,16.00,30.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,8.00,6.00,0.00,0.00,0.00,1.00,303.0,265.0,0.00,33.00,19.00,686.0
KENDRICK,0.00,11.00,12.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,7.00,3.00,0.00,0.00,0.00,2.00,220.0,191.0,1.00,65.00,44.00,558.0
CLIMAX,1.00,12.00,18.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,5.00,2.00,0.00,3.00,1.00,0.00,385.0,342.0,0.00,106.0,82.00,963.0
BRINSON,2.00,18.00,16.00,0.00,3.00,2.00,0.00,1.00,0.00,0.00,4.00,1.00,0.00,0.00,1.00,0.00,317.0,276.0,0.00,97.00,77.00,815.0
WEST BAINBRIDGE,1.00,35.00,51.00,0.00,1.00,4.00,0.00,1.00,0.00,0.00,18.00,14.00,0.00,4.00,1.00,2.00,556.0,490.0,1.00,636.0,364.0,2179.0
BAINBRIDGE-COLISEUM,3.00,92.00,101.0,0.00,18.00,13.00,0.00,5.00,2.00,0.00,47.00,40.00,0.00,19.00,8.00,0.00,1811.0,1472.0,1.00,1126.0,723.0,5481.0
BDGE-FAIRGROUNDS,1.00,57.00,82.00,0.00,9.00,10.00,0.00,1.00,0.00,0.00,7.00,5.00,0.00,4.00,6.00,0.00,801.0,632.0,0.00,990.0,605.0,3210.0
ATTAPULGUS,1.00,28.00,52.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,16.00,19.00,0.00,0.00,1.00,0.00,304.0,273.0,0.00,601.0,424.0,1722.0
TOTAL,10.00,280.0,374.0,0.00,40.00,35.00,0.00,8.00,2.00,0.00,117.0,93.00,0.00,30.00,18.00,5.00,4944.0,4165.0,3.00,3683.0,2367.0,16174.0
