PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
88888,100.0,34.78,inf,0.0,0.0,400.0,inf,55.56
99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA,0.0,9.28,0.0,0.0,5.63,16.83,4.92,9.37
AB,7.69,14.29,1.96,0.0,20.69,14.69,8.54,13.65
AD,15.56,20.97,13.89,0.0,16.67,27.52,9.95,25.52
AE,5.71,14.74,0.0,0.0,13.89,18.97,9.15,17.53
AF,0.0,4.2,0.0,0.0,2.94,9.33,3.24,4.45
AG,10.26,16.84,11.67,0.0,5.41,21.74,9.96,19.42
AH,6.78,17.33,7.69,0.0,14.29,17.98,5.49,14.98
AI,3.23,6.98,7.27,0.0,5.97,8.32,3.03,7.35
BB,6.49,6.36,3.17,0.0,6.9,6.98,2.83,6.31
BC,3.12,3.07,4.12,0.0,0.0,7.2,1.06,5.74
BD,6.19,18.18,10.2,0.0,0.0,26.03,7.56,22.67
BE,3.94,6.23,3.41,0.0,2.17,11.82,3.83,8.93
BF,1.79,5.85,1.01,14.29,3.23,17.0,3.39,10.25
BG,1.09,4.55,7.0,0.0,5.26,10.77,4.49,8.79
BH,0.0,4.53,3.33,0.0,0.0,18.38,4.44,11.79
BI,3.45,14.76,6.82,14.29,0.0,13.52,5.61,12.01
BJ,0.0,11.46,0.0,0.0,5.88,15.79,8.06,11.16
BL,0.0,5.17,0.0,0.0,3.57,15.38,4.22,5.35
BM,3.23,5.17,0.0,0.0,4.48,8.25,2.25,4.9
BR,0.0,4.9,2.27,50.0,0.0,5.56,2.05,4.76
CA,12.5,7.15,0.0,0.0,3.7,4.35,2.87,6.64
CB,0.0,8.44,0.0,0.0,0.0,14.58,4.14,8.06
CC,0.0,3.28,0.0,0.0,3.85,3.64,0.7,3.06
CD,0.0,5.93,0.0,0.0,10.81,10.59,3.12,5.8
CE,2.86,6.07,2.44,0.0,11.11,13.64,5.47,9.67
CF,0.0,7.48,0.0,0.0,0.0,22.17,1.63,7.65
CG,0.0,9.2,0.0,0.0,6.82,11.48,4.17,8.79
CH,4.8,4.62,4.95,25.0,5.66,17.86,6.39,10.79
CI,6.19,11.86,1.82,0.0,4.08,13.86,5.3,12.37
CJ,0.0,5.04,1.2,0.0,1.45,9.71,2.69,7.31
CK,1.26,1.48,0.0,0.0,0.57,7.13,0.74,2.1
CL,0.0,6.53,0.0,0.0,0.0,10.77,2.56,6.26
CM,0.0,4.98,0.0,0.0,3.7,4.84,2.75,4.69
CN,3.33,3.05,3.53,33.33,2.63,4.69,2.82,3.74
CO,8.16,6.88,0.76,0.0,2.33,12.68,3.89,9.94
CP,0.0,8.16,3.85,0.0,1.75,11.96,0.89,7.49
