AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,14.0,27.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,20.0,15.0,0.0,1.0,2.0,0.0,77.0,90.0,0.0,180.0,141.0,570.0
25-29,0.0,8.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,1.0,0.0,0.0,95.0,85.0,0.0,171.0,140.0,518.0
30-34,0.0,6.0,9.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,1.0,2.0,0.0,85.0,66.0,0.0,120.0,79.0,379.0
35-39,0.0,6.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,3.0,1.0,0.0,80.0,82.0,0.0,155.0,107.0,451.0
40-44,0.0,11.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,3.0,0.0,84.0,65.0,0.0,137.0,107.0,421.0
45-49,0.0,10.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,89.0,91.0,1.0,138.0,68.0,413.0
50-54,1.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,129.0,110.0,0.0,138.0,100.0,498.0
55-59,0.0,6.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,136.0,135.0,0.0,155.0,100.0,551.0
60-64,0.0,9.0,7.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,153.0,146.0,0.0,136.0,90.0,551.0
65-OVER,0.0,19.0,11.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,504.0,415.0,0.0,337.0,236.0,1532.0
TOTAL,1.0,96.0,103.0,0.0,10.0,8.0,0.0,2.0,0.0,0.0,47.0,36.0,0.0,12.0,16.0,0.0,1432.0,1285.0,1.0,1667.0,1168.0,5884.0
