AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,4.17,0.51,0.0,0.0,0.0,2.32,0.42,0.71
25-29,0.0,0.47,0.0,0.0,0.0,2.6,0.0,0.78
30-34,0.0,0.91,4.44,0.0,0.0,3.21,1.06,1.39
35-39,0.0,1.94,4.35,10.0,3.45,3.98,0.61,2.28
40-44,6.67,2.4,0.0,0.0,0.0,5.58,1.09,3.0
45-49,0.0,3.63,0.0,0.0,0.0,7.25,2.67,4.44
50-54,8.7,6.26,3.7,0.0,0.0,12.15,1.34,7.47
55-59,4.17,9.28,6.67,0.0,0.0,13.26,2.33,9.99
60-64,7.69,11.99,4.0,33.33,21.43,19.02,4.38,14.02
65-OVER,2.78,16.94,6.06,0.0,18.52,28.01,6.62,21.64
TOTAL,3.11,5.56,2.47,4.65,2.6,15.63,1.76,7.95
