AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,3.57,1.02,1.31,0.0,0.63,0.0,0.0,6.25,5.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,2.75,4.17,0.0,0.46,0.41,1.39
25-29,0.0,0.39,0.39,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.47,1.16,0.0,0.0,0.0,0.0,2.18,3.51,0.0,0.33,0.49,1.21
30-34,0.0,0.68,1.58,0.0,0.0,2.86,0.0,50.0,0.0,0.0,0.6,2.08,0.0,4.08,0.0,0.0,2.88,3.25,0.0,0.55,0.76,1.57
35-39,0.0,1.49,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.63,0.0,0.0,4.52,5.23,0.0,1.46,0.84,2.44
40-44,0.0,2.16,2.56,0.0,1.3,5.56,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.22,6.89,0.0,2.45,1.14,3.58
45-49,0.0,4.3,3.33,0.0,2.99,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,2.56,0.0,10.2,9.85,0.0,2.99,1.72,5.24
50-54,0.0,2.84,4.64,0.0,6.67,2.38,0.0,0.0,0.0,0.0,0.0,3.57,0.0,3.03,8.0,0.0,14.63,14.1,0.0,3.25,1.9,7.67
55-59,0.0,4.29,5.2,0.0,2.08,12.82,0.0,0.0,0.0,0.0,2.44,0.0,0.0,3.03,0.0,0.0,16.69,20.42,0.0,3.73,3.77,10.9
60-64,0.0,5.65,6.04,0.0,3.7,11.11,0.0,33.33,0.0,0.0,8.77,8.2,0.0,0.0,2.44,0.0,22.62,23.05,0.0,4.5,3.75,14.71
65-OVER,0.0,7.97,9.85,0.0,12.12,10.0,0.0,0.0,0.0,0.0,1.01,3.23,0.0,7.46,4.0,0.0,29.09,35.04,0.0,5.86,5.07,23.23
TOTAL,1.61,2.83,3.3,0.0,2.41,3.97,0.0,7.14,1.92,0.0,0.73,1.73,0.0,2.14,1.53,0.0,15.1,17.0,0.0,2.39,1.75,8.01
