PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
189,5.56,9.22,0.0,0.0,7.69,17.71,7.79,13.24
190,0.0,0.0,0.0,0.0,0.0,22.33,7.69,16.87
191,0.0,3.6,0.0,0.0,0.0,24.07,9.68,19.27
192,0.0,4.17,0.0,0.0,100.0,20.79,0.0,19.01
193,0.0,11.15,0.0,0.0,0.0,17.65,8.0,15.65
196,0.0,16.92,16.67,0.0,0.0,14.69,9.09,14.73
197,20.0,13.81,0.0,0.0,25.0,15.35,10.96,14.55
199,0.0,0.0,25.0,0.0,50.0,15.73,10.71,15.2
201,0.0,10.0,8.33,0.0,0.0,14.79,3.95,13.46
202,0.0,5.0,0.0,0.0,0.0,20.83,0.0,17.44
315,0.0,10.48,0.0,0.0,33.33,14.71,2.17,13.17
TOTAL,6.38,9.58,2.75,0.0,14.29,17.39,7.14,14.64
