PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
1054,0.0,0.0,0.0,0.0,0.0,18.42,2.17,17.31
1055,14.29,0.0,2.63,40.0,0.0,10.68,1.19,9.92
1056,0.0,6.12,2.58,0.0,8.33,13.72,2.5,12.68
1063,0.0,20.0,0.0,0.0,0.0,18.39,6.9,17.77
1064,0.0,10.0,0.0,0.0,0.0,19.76,0.0,17.91
1235,0.0,0.0,0.0,0.0,25.0,13.4,4.0,12.88
849-A,2.33,1.68,0.0,14.29,3.45,11.65,1.23,10.04
849-B,0.0,2.03,0.76,5.88,2.44,13.47,2.51,10.83
856,0.0,3.23,0.0,0.0,0.0,14.3,1.59,12.94
874,0.0,0.0,0.0,0.0,0.0,15.2,3.9,14.33
973,5.26,4.76,2.83,0.0,0.0,13.03,4.55,11.93
980,0.0,0.0,0.0,0.0,0.0,14.84,0.0,12.8
TOTAL,1.6,3.03,0.9,8.51,3.31,13.69,2.35,12.08
