PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
BREMEN,33.33,8.16,5.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,7.69,0.00,0.00,0.00,0.00,13.43,16.81,0.00,0.84,0.59,13.22
BUCHANAN,0.00,11.11,8.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,18.84,22.41,0.00,6.12,2.50,19.08
BUNCOMBE,0.00,10.34,10.71,0.00,0.00,33.33,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,15.60,19.95,0.00,0.00,0.00,16.88
CORINTH,0.00,2.33,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.59,19.60,0.00,18.18,17.65,16.56
TWENTIETH,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.20,18.75,0.00,0.00,0.00,17.07
FELTON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.63,25.42,0.00,0.00,0.00,21.88
LITTLE CREEK,0.00,6.67,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.61,22.94,0.00,0.00,0.00,19.21
MT VIEW,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.05,28.57,0.00,0.00,0.00,24.72
SEVENTH,0.00,4.76,5.45,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.23,20.58,0.00,1.82,2.63,15.87
BEREA-STEADMAN,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,24.67,0.00,0.00,0.00,18.66
TALLAPOOSA,0.00,5.56,3.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.58,18.31,0.00,4.17,0.00,14.93
WACO,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.77,16.36,0.00,0.00,0.00,13.77
TOTAL,25.00,6.73,5.57,0.00,3.33,3.33,0.00,0.00,0.00,0.00,5.56,3.03,0.00,0.00,2.50,0.00,15.29,19.27,0.00,2.43,1.82,15.68
