PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
0076,1.0,18.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,111.0,102.0,0.0,80.0,62.0,400.0
0077,0.0,32.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,192.0,187.0,0.0,82.0,69.0,586.0
0081,5.0,89.0,113.0,0.0,6.0,5.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0,1.0,0.0,580.0,507.0,3.0,798.0,524.0,2639.0
0082,0.0,133.0,122.0,0.0,7.0,3.0,0.0,0.0,1.0,0.0,4.0,5.0,0.0,3.0,4.0,0.0,703.0,621.0,4.0,1208.0,852.0,3670.0
0083,0.0,48.0,57.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,2.0,2.0,0.0,237.0,191.0,0.0,777.0,546.0,1870.0
0085,0.0,8.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,109.0,100.0,0.0,151.0,95.0,492.0
1460,0.0,22.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,185.0,179.0,0.0,119.0,72.0,608.0
1593,0.0,13.0,17.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,161.0,132.0,0.0,24.0,16.0,373.0
88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0
TOTAL,6.0,363.0,403.0,1.0,17.0,13.0,0.0,2.0,3.0,0.0,17.0,12.0,0.0,9.0,11.0,2.0,2278.0,2021.0,7.0,3241.0,2238.0,10644.0
