PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,16.76,21.17,0.0,5.17,4.57,15.89
10,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,100.0,0.0,16.67,0.0,0.0,0.0,33.33,0.0,16.42,21.85,0.0,8.86,5.59,11.9
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,20.93,23.31,0.0,10.32,8.14,17.66
2,0.0,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,18.4,20.37,0.0,8.33,6.33,16.64
3,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.98,16.67,0.0,9.76,8.12,13.28
4,0.0,5.0,8.33,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,19.03,21.28,0.0,20.9,15.0,19.51
5,0.0,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.76,22.87,0.0,9.92,6.25,16.67
6,0.0,6.67,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,22.57,29.18,0.0,5.92,5.11,20.07
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.17,30.56,0.0,23.08,18.75,24.48
9,0.0,3.12,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,21.07,21.67,0.0,7.69,7.87,18.53
TOTAL,0.0,2.33,2.14,0.0,0.0,3.85,0.0,0.0,12.5,0.0,7.14,0.0,0.0,4.44,8.0,0.0,18.53,21.59,0.0,8.97,6.61,16.2
