PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
CHALYBEATE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.0,0.00,0.00,0.00,0.00,0.00,17.49,23.93,0.00,4.17,9.52,18.18
GILL I,0.00,5.41,6.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.32,22.39,0.00,2.47,1.63,14.17
GILL II,0.00,4.35,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.41,20.27,0.00,6.22,3.47,7.34
7TH-ODESSADALE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.11,21.79,0.00,11.63,4.26,16.07
8TH-GREENVILLE,0.00,4.00,2.17,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.0,17.30,22.19,0.00,3.10,1.60,10.21
LONE OAK,0.00,5.26,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.44,17.63,0.00,2.26,1.84,10.20
LUTHERSVILLE,0.00,3.03,4.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,15.70,17.33,0.00,3.95,2.12,10.55
UPPER 9TH -ALVATON,0.00,9.62,7.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,23.30,0.00,2.46,0.99,13.10
MIDDLE 9TH-GAY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.57,19.71,0.00,2.78,2.56,14.63
LOWER 9TH-WOODBURY,0.00,9.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.85,28.10,0.00,1.48,0.40,12.66
2ND-WARM SPRINGS,0.00,0.00,3.33,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.29,20.67,0.00,4.70,2.42,13.45
THIRD-DURAND,0.00,8.33,11.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.74,21.47,0.00,0.79,1.16,12.57
RALEIGH,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.02,22.35,0.00,0.00,0.00,15.60
COVE,0.00,0.00,0.00,0.00,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.21,29.47,0.00,0.00,0.00,27.09
TOTAL,0.00,4.95,4.52,0.00,14.71,0.00,0.00,0.00,0.00,0.00,8.82,0.00,0.00,0.00,0.00,25.00,17.66,21.47,0.00,3.38,1.93,12.26
