PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
01,0.0,10.0,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,183.0,163.0,0.0,24.0,21.0,418.0
02,2.0,37.0,50.0,0.0,9.0,5.0,0.0,1.0,0.0,0.0,7.0,4.0,0.0,4.0,5.0,0.0,583.0,451.0,0.0,243.0,123.0,1524.0
03,0.0,23.0,26.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,118.0,74.0,0.0,418.0,288.0,954.0
04,0.0,7.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,95.0,78.0,0.0,43.0,47.0,280.0
05,0.0,50.0,46.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,445.0,383.0,0.0,548.0,375.0,1861.0
06,0.0,38.0,33.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,281.0,295.0,0.0,265.0,217.0,1137.0
07,0.0,99.0,133.0,0.0,3.0,5.0,0.0,1.0,3.0,0.0,11.0,4.0,0.0,1.0,0.0,1.0,688.0,675.0,0.0,481.0,378.0,2483.0
08,0.0,52.0,83.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,385.0,382.0,0.0,244.0,203.0,1359.0
09,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,140.0,137.0,0.0,36.0,39.0,376.0
10,0.0,41.0,45.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,337.0,274.0,0.0,337.0,253.0,1295.0
11,0.0,27.0,30.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,4.0,2.0,0.0,425.0,358.0,0.0,149.0,124.0,1130.0
12,0.0,24.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,227.0,191.0,0.0,127.0,86.0,676.0
13,0.0,18.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,188.0,179.0,0.0,40.0,24.0,468.0
14,0.0,6.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,89.0,95.0,0.0,4.0,1.0,203.0
TOTAL,2.0,444.0,509.0,0.0,34.0,18.0,0.0,7.0,4.0,0.0,34.0,25.0,0.0,12.0,14.0,4.0,4184.0,3735.0,0.0,2959.0,2179.0,14164.0
