AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,5.530,0.00,0.00,0.00,9.090,0.00,5.980
25-29,0.00,8.760,0.00,0.00,0.00,10.08,0.00,8.990
30-34,0.00,9.830,0.00,0.00,0.00,10.19,7.690,9.830
35-39,0.00,17.05,0.00,0.00,0.00,16.67,9.090,16.56
40-44,0.00,17.72,0.00,0.00,0.00,22.34,20.00,19.17
45-49,0.00,21.52,0.00,0.00,0.00,18.85,0.00,19.79
50-54,0.00,21.11,0.00,0.00,0.00,27.27,18.18,23.05
55-59,0.00,27.17,0.00,0.00,0.00,26.71,10.00,26.39
60-64,0.00,36.75,0.00,0.00,0.00,36.99,28.57,36.63
65-OVER,0.00,43.00,0.00,0.00,33.33,43.60,23.53,42.91
TOTAL,0.00,23.94,0.00,0.00,11.11,29.46,10.40,25.66
