AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,1.0,10.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,48.0,42.0,0.0,17.0,11.0,147.0
25-29,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,40.0,0.0,12.0,6.0,114.0
30-34,0.0,9.0,18.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,61.0,68.0,0.0,19.0,12.0,192.0
35-39,0.0,8.0,8.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,76.0,97.0,0.0,32.0,21.0,253.0
40-44,0.0,8.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,86.0,96.0,0.0,56.0,19.0,283.0
45-49,0.0,14.0,10.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,133.0,145.0,0.0,84.0,35.0,429.0
50-54,0.0,13.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,190.0,203.0,0.0,82.0,49.0,552.0
55-59,1.0,29.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,5.0,0.0,315.0,327.0,0.0,125.0,73.0,900.0
60-64,0.0,19.0,20.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,428.0,395.0,0.0,225.0,99.0,1197.0
65-OVER,0.0,81.0,69.0,0.0,11.0,3.0,0.0,0.0,2.0,0.0,2.0,7.0,0.0,15.0,6.0,0.0,1783.0,1709.0,0.0,571.0,344.0,4603.0
TOTAL,2.0,196.0,186.0,1.0,22.0,13.0,0.0,2.0,3.0,0.0,13.0,19.0,0.0,19.0,17.0,2.0,3161.0,3122.0,0.0,1223.0,669.0,8670.0
