PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
01,0.0,2.25,25.0,0.0,33.33,20.36,1.3,11.58
02,0.0,5.04,0.0,0.0,0.0,12.19,3.33,9.53
03,0.0,2.97,0.0,0.0,0.0,14.19,2.17,9.38
04,33.33,3.34,0.0,0.0,0.0,18.67,0.0,9.7
05,0.0,10.92,0.0,0.0,0.0,18.29,0.0,15.59
06,0.0,2.63,0.0,0.0,0.0,14.06,0.0,11.94
07,0.0,1.89,0.0,0.0,0.0,18.44,1.59,9.17
08,0.0,2.88,0.0,0.0,100.0,16.9,0.0,8.31
09,0.0,4.9,0.0,0.0,0.0,13.42,0.0,10.97
10,0.0,1.33,0.0,0.0,0.0,21.04,0.0,7.52
11,0.0,1.49,0.0,0.0,0.0,19.71,3.57,15.16
12,0.0,8.23,0.0,0.0,0.0,10.45,0.0,8.13
88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL,8.0,3.1,9.09,0.0,11.11,16.62,1.02,10.37
