AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.0,0.67,0.0,0.0,0.0,4.33,0.0,1.9
25-29,0.0,0.87,0.0,0.0,0.0,3.29,0.0,1.84
30-34,0.0,0.61,0.0,0.0,0.0,4.93,0.0,2.65
35-39,0.0,1.82,0.0,0.0,0.0,9.16,0.0,6.0
40-44,0.0,0.79,0.0,0.0,0.0,9.54,0.0,5.37
45-49,100.0,0.0,20.0,0.0,0.0,11.56,0.0,7.02
50-54,100.0,2.15,25.0,0.0,0.0,13.2,2.08,8.1
55-59,0.0,5.47,0.0,0.0,0.0,18.3,0.0,12.32
60-64,0.0,6.33,0.0,0.0,100.0,21.02,3.57,14.43
65-OVER,0.0,6.47,0.0,0.0,16.67,29.37,6.35,21.26
TOTAL,8.0,3.1,9.09,0.0,11.11,16.62,1.02,10.37
