AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,3.0,192.0,193.0,0.0,14.0,9.0,0.0,0.0,1.0,0.0,46.0,40.0,0.0,1.0,1.0,2.0,374.0,345.0,2.0,203.0,172.0,1598.0
25-29,0.0,60.0,91.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,39.0,18.0,0.0,2.0,3.0,1.0,395.0,324.0,0.0,221.0,144.0,1307.0
30-34,1.0,54.0,71.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,27.0,19.0,0.0,3.0,3.0,1.0,390.0,333.0,0.0,213.0,115.0,1240.0
35-39,1.0,44.0,59.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,23.0,10.0,0.0,2.0,6.0,0.0,386.0,340.0,1.0,190.0,131.0,1198.0
40-44,0.0,46.0,37.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,15.0,8.0,0.0,3.0,2.0,0.0,387.0,345.0,0.0,164.0,107.0,1123.0
45-49,0.0,44.0,41.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,11.0,17.0,0.0,4.0,3.0,0.0,432.0,400.0,0.0,158.0,108.0,1226.0
50-54,0.0,42.0,35.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,2.0,3.0,2.0,467.0,404.0,0.0,194.0,116.0,1289.0
55-59,0.0,31.0,40.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,2.0,1.0,496.0,423.0,0.0,179.0,123.0,1315.0
60-64,0.0,48.0,49.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,5.0,4.0,0.0,465.0,436.0,0.0,162.0,138.0,1320.0
65-OVER,0.0,72.0,77.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,9.0,5.0,0.0,1519.0,1195.0,0.0,388.0,260.0,3557.0
TOTAL,5.0,633.0,693.0,0.0,55.0,38.0,0.0,0.0,2.0,0.0,188.0,144.0,0.0,31.0,32.0,7.0,5311.0,4545.0,3.0,2072.0,1414.0,15173.0
