PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
1,0.0,0.0,0.0,0.0,8.33,14.58,5.92,13.77
10,0.0,0.0,12.5,0.0,0.0,19.39,13.53,18.79
11,25.0,0.0,0.0,0.0,25.0,26.89,19.74,26.09
2,0.0,0.0,0.0,0.0,25.0,22.16,17.19,21.57
3,20.0,50.0,0.0,0.0,0.0,24.26,17.53,23.54
4,0.0,0.0,0.0,0.0,0.0,22.91,12.96,22.1
5,0.0,0.0,0.0,0.0,0.0,24.09,23.08,23.81
6,0.0,0.0,12.5,0.0,50.0,20.9,9.38,20.1
7,25.0,0.0,8.33,0.0,50.0,16.48,15.79,16.38
8,0.0,0.0,0.0,100.0,14.29,16.17,16.81,16.05
9,0.0,0.0,5.88,0.0,12.5,22.67,18.8,22.1
TOTAL,6.38,3.33,3.81,7.14,13.21,20.31,14.88,19.73
