AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,15.38,1.55,0.00,0.00,0.00,5.71,0.66,4.00
25-29,0.00,0.38,0.00,0.00,0.00,5.36,2.91,3.94
30-34,0.00,2.02,0.00,0.00,0.00,8.08,1.36,6.02
35-39,0.00,3.85,5.26,0.00,0.00,9.96,2.65,8.04
40-44,0.00,4.19,4.17,0.00,25.00,11.12,8.82,9.63
45-49,0.00,1.95,0.00,0.00,0.00,16.06,4.85,12.95
50-54,0.00,5.94,0.00,0.00,0.00,18.48,3.91,15.06
55-59,0.00,5.90,0.00,100.0,0.00,22.39,5.26,17.92
60-64,11.11,9.22,0.00,0.00,22.22,26.97,3.85,22.69
65-OVER,0.00,14.44,0.00,0.00,10.00,34.22,13.04,30.59
TOTAL,4.62,5.68,1.10,10.00,6.41,19.45,4.49,15.62
