AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,11.0,16.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,4.0,0.0,1.0,2.0,1.0,125.0,128.0,0.0,67.0,59.0,424.0
25-29,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,103.0,108.0,0.0,74.0,63.0,361.0
30-34,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,116.0,83.0,0.0,66.0,34.0,311.0
35-39,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,114.0,115.0,0.0,47.0,28.0,316.0
40-44,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,112.0,97.0,0.0,61.0,48.0,324.0
45-49,0.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,115.0,114.0,0.0,67.0,43.0,352.0
50-54,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,112.0,0.0,61.0,46.0,348.0
55-59,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,142.0,126.0,0.0,69.0,44.0,388.0
60-64,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,132.0,135.0,0.0,69.0,49.0,394.0
65-OVER,0.0,5.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,467.0,394.0,0.0,161.0,118.0,1165.0
TOTAL,1.0,33.0,49.0,0.0,7.0,4.0,0.0,2.0,2.0,0.0,20.0,15.0,0.0,6.0,7.0,1.0,1550.0,1412.0,0.0,742.0,532.0,4383.0
