AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,39,808,965,1,133,93,0,14,21,1,204,171,1,173,167,45,6178,6922,7,1559,1048,18550
25-29,2,504,498,0,83,60,0,6,0,0,112,113,0,66,77,3,4370,4884,1,1157,634,12570
30-34,14,732,705,0,114,77,0,6,5,0,110,118,1,120,96,2,6418,6873,0,1773,860,18024
35-39,15,1009,918,0,144,110,0,8,7,0,171,140,1,188,156,9,8938,9466,3,3168,1386,25837
40-44,8,1039,1020,1,171,102,0,12,10,0,249,179,1,225,215,5,12208,12312,6,4382,1872,34017
45-49,18,1402,1430,0,173,182,0,13,22,2,282,242,1,333,292,6,19483,19894,2,5992,2930,52699
50-54,20,1512,1575,1,230,204,0,13,22,1,298,300,1,281,296,12,25828,27107,1,6981,3768,68451
55-59,21,1840,1858,1,259,256,0,23,20,2,273,246,1,346,269,17,34173,35736,6,8290,4529,88166
60-64,17,1788,1763,2,248,269,0,15,25,1,245,221,4,333,240,6,39863,39946,3,9160,4922,99071
65-OVER,44,6158,6084,1,499,510,0,39,61,0,455,427,10,857,858,39,139052,140694,4,23534,13372,332698
TOTAL,198,16792,16816,7,2054,1863,0,149,193,7,2399,2157,21,2922,2666,144,296511,303834,33,65996,35321,750083
