ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,6.57,12.63,3.47,8.37,5.68,23.10,7.76,18.50
2014 Primary Runoff,5.19,7.31,2.13,7.11,3.50,17.31,4.94,13.19
2014 General,18.19,36.08,14.77,19.92,19.60,41.40,21.72,37.68
2016 Presidential Primary,14.73,23.18,13.23,17.79,15.63,35.71,18.61,30.11
2016 Primary,6.02,15.31,4.06,8.28,5.75,20.20,6.84,17.23
2016 Primary Runoff,0.78,1.23,0.47,0.92,0.64,5.75,1.77,4.00
2016 General,43.70,52.89,40.51,44.49,40.89,62.92,44.14,57.74
2018 Primary,5.77,16.59,5.04,5.56,7.96,18.47,7.26,16.29
2018 Primary Runoff,2.82,6.06,1.91,2.20,3.45,13.72,3.78,10.13
2018 General,35.57,49.46,31.22,35.61,37.41,56.99,32.55,51.40
