ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,2.01,5.96,2.76,0.00,2.00,15.25,6.18,12.99
2014 Primary Runoff,1.55,2.21,2.86,0.00,2.80,14.22,5.76,11.75
2014 General,12.13,39.11,19.68,21.43,21.34,43.66,23.95,40.49
2016 Presidential Primary,9.59,22.69,17.87,15.79,18.77,36.41,21.06,32.54
2016 Primary,2.61,7.15,2.42,0.00,3.48,15.26,5.58,12.89
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,33.85,58.88,56.09,60.00,50.00,68.24,48.99,64.44
2018 Primary,3.11,11.79,3.93,5.26,4.05,15.86,6.26,13.57
2018 Primary Runoff,2.29,2.26,1.45,5.41,2.49,15.90,5.13,12.33
2018 General,24.15,55.65,42.88,34.62,44.71,59.43,33.94,54.71
