ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,2.51,11.42,2.57,5.56,7.08,20.53,6.49,11.89
2014 Primary Runoff,0.95,3.14,1.07,4.23,2.25,15.30,2.01,4.71
2014 General,18.04,42.97,21.24,23.26,27.50,46.84,28.44,41.07
2016 Presidential Primary,6.47,24.41,15.36,12.82,15.99,36.01,14.92,24.38
2016 Primary,3.30,14.11,3.42,8.14,6.28,19.69,7.13,13.59
2016 Primary Runoff,0.29,3.45,0.54,3.53,1.23,1.46,1.50,2.84
2016 General,37.44,54.88,47.92,36.71,43.42,59.00,41.83,53.46
2018 Primary,3.81,13.84,4.10,3.74,6.77,18.46,6.80,12.96
2018 Primary Runoff,1.68,3.39,1.27,2.83,2.31,17.74,2.02,4.72
2018 General,31.42,51.42,37.70,29.97,41.56,52.14,34.55,48.58
