ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,6.25,10.49,1.92,9.09,8.33,21.20,11.20,20.23
2014 Primary Runoff,1.59,7.99,3.85,0.00,4.17,19.57,8.16,18.50
2014 General,16.92,38.92,25.93,16.67,14.00,43.78,25.18,42.66
2016 Presidential Primary,9.23,22.04,12.90,11.11,21.57,40.45,24.68,38.70
2016 Primary,2.78,7.31,6.06,10.00,7.84,25.33,10.00,23.68
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,37.97,52.54,47.06,41.67,54.24,66.85,50.44,65.24
2018 Primary,7.50,8.85,5.80,9.52,8.20,17.73,7.55,16.61
2018 Primary Runoff,1.25,2.16,4.35,0.00,3.33,17.15,6.18,15.68
2018 General,32.98,46.74,45.68,31.82,46.48,58.24,31.79,55.83
