ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,2.18,2.28,3.29,4.44,4.68,7.21,12.07,13.68,19.10,24.04,8.93
2014 Primary Runoff,1.79,1.81,1.45,2.30,4.38,5.71,9.78,11.45,15.16,21.36,7.30
2014 General,11.86,12.02,16.11,24.61,28.77,32.87,38.01,43.49,50.90,51.75,29.90
2016 Presidential Primary,8.27,9.22,10.28,12.79,18.80,23.25,27.96,29.28,34.47,36.38,20.60
2016 Primary,13.64,13.39,15.94,18.43,25.00,29.05,38.78,37.93,47.20,47.48,27.83
2016 Primary Runoff,1.65,1.24,1.65,1.55,4.51,3.02,5.14,4.63,6.89,7.02,3.62
2016 General,32.92,33.65,38.08,43.13,51.05,56.25,60.58,62.95,70.04,64.29,49.81
2018 Primary,2.94,4.03,5.31,5.74,8.38,11.78,15.94,22.26,25.13,29.91,12.44
2018 Primary Runoff,0.66,1.26,2.55,2.86,4.18,5.35,8.18,12.89,14.83,17.53,6.63
2018 General,21.37,25.89,32.53,39.63,44.42,49.75,61.49,61.87,65.07,65.85,44.70
