AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,26062.0,3.0,1395.0,1039.0,3.0,446.0,262.0,0.0,22.0,10.0,0.0,487.0,357.0,0.0,439.0,315.0,1.0,5066.0,3899.0,0.0,7940.0,4378.0
30-34,29191.0,2.0,1573.0,1266.0,0.0,436.0,275.0,0.0,20.0,11.0,1.0,426.0,286.0,0.0,530.0,399.0,1.0,5949.0,5147.0,1.0,8229.0,4639.0
35-39,29565.0,4.0,1580.0,1319.0,0.0,390.0,258.0,0.0,19.0,14.0,0.0,356.0,260.0,0.0,480.0,357.0,0.0,5836.0,5145.0,0.0,8675.0,4872.0
40-44,27577.0,1.0,1261.0,1069.0,0.0,303.0,208.0,0.0,17.0,17.0,0.0,307.0,280.0,0.0,438.0,357.0,1.0,5385.0,4814.0,0.0,8363.0,4756.0
45-49,30236.0,1.0,1083.0,972.0,0.0,299.0,203.0,0.0,14.0,13.0,0.0,311.0,261.0,0.0,377.0,345.0,0.0,5817.0,5620.0,0.0,9172.0,5748.0
50-54,29305.0,1.0,839.0,760.0,0.0,230.0,175.0,0.0,16.0,8.0,0.0,248.0,228.0,0.0,309.0,290.0,1.0,5262.0,5177.0,0.0,9635.0,6126.0
55-59,29790.0,0.0,853.0,665.0,0.0,200.0,144.0,0.0,16.0,13.0,0.0,196.0,182.0,0.0,236.0,237.0,1.0,5495.0,5241.0,0.0,10207.0,6104.0
60-64,27026.0,2.0,648.0,577.0,0.0,159.0,129.0,0.0,4.0,4.0,0.0,175.0,141.0,0.0,197.0,166.0,0.0,5193.0,4634.0,0.0,9467.0,5530.0
65-OVER,61219.0,4.0,1574.0,1107.0,0.0,306.0,234.0,0.0,21.0,16.0,0.0,318.0,210.0,0.0,486.0,523.0,2.0,15584.0,12294.0,0.0,17977.0,10563.0
TOTAL,289971.0,18.0,10806.0,8774.0,3.0,2769.0,1888.0,0.0,149.0,106.0,1.0,2824.0,2205.0,0.0,3492.0,2989.0,7.0,59587.0,51971.0,1.0,89665.0,52716.0
