AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,96565.0,190.0,6275.0,6256.0,8.0,1172.0,877.0,0.0,69.0,77.0,8.0,1620.0,1478.0,8.0,1315.0,1366.0,88.0,17487.0,16302.0,69.0,22749.0,19151.0
30-34,86729.0,140.0,6543.0,6491.0,7.0,1024.0,823.0,0.0,75.0,52.0,11.0,1245.0,977.0,10.0,1288.0,1090.0,56.0,15709.0,15449.0,48.0,19388.0,16303.0
35-39,76808.0,98.0,6261.0,5985.0,11.0,976.0,733.0,0.0,50.0,45.0,3.0,1041.0,829.0,4.0,1238.0,966.0,25.0,12584.0,12496.0,28.0,18640.0,14795.0
40-44,66954.0,66.0,5168.0,4876.0,3.0,728.0,578.0,0.0,43.0,50.0,2.0,921.0,717.0,6.0,1439.0,1069.0,18.0,11245.0,11364.0,22.0,15926.0,12713.0
45-49,72111.0,59.0,5007.0,5043.0,2.0,602.0,602.0,0.0,42.0,52.0,5.0,791.0,761.0,14.0,1473.0,1369.0,24.0,13579.0,14298.0,37.0,15406.0,12945.0
50-54,65882.0,55.0,3891.0,4469.0,3.0,567.0,572.0,0.0,22.0,22.0,4.0,648.0,624.0,10.0,1084.0,1200.0,27.0,13714.0,14180.0,20.0,13166.0,11604.0
55-59,62491.0,63.0,3556.0,3844.0,2.0,463.0,456.0,1.0,28.0,18.0,1.0,454.0,460.0,5.0,722.0,843.0,14.0,13820.0,14244.0,24.0,12718.0,10755.0
60-64,51742.0,39.0,2837.0,2818.0,1.0,373.0,362.0,0.0,15.0,19.0,1.0,339.0,287.0,3.0,462.0,502.0,14.0,11845.0,11539.0,16.0,11360.0,8910.0
65-OVER,118538.0,181.0,6855.0,5384.0,5.0,652.0,543.0,0.0,38.0,32.0,4.0,584.0,400.0,5.0,916.0,936.0,32.0,31043.0,25810.0,46.0,27683.0,17389.0
TOTAL,697820.0,891.0,46393.0,45166.0,42.0,6557.0,5546.0,1.0,382.0,367.0,39.0,7643.0,6533.0,65.0,9937.0,9341.0,298.0,141026.0,135682.0,310.0,157036.0,124565.0
