,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,33.33,44.77,33.33,33.33,33.33,55.4,33.33,50.83
1,66.67,52.09,66.67,66.67,66.67,55.49,66.67,54.11
2,,,,,,0.0,,0.0
3,0.0,67.54,0.0,0.0,0.0,65.13,0.0,66.17
4,,58.9,,,,58.14,,58.5
5,,61.11,,,,62.21,,61.74
6,,56.98,,,,59.8,,58.47
7,100.0,53.04,100.0,100.0,100.0,53.28,100.0,53.27
8,,67.46,,,,61.17,,63.9
9,,60.19,,,,57.77,,58.87
10,,67.46,,,,68.38,,67.94
11,,52.08,,,,54.6,,53.39
12,,60.31,,,,61.65,,61.02
13,55.56,55.46,55.56,55.56,55.56,57.95,55.56,56.83
