,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,28.57,33.81,28.57,28.57,28.57,39.53,28.57,36.79
1,0.0,43.61,0.0,0.0,0.0,49.78,0.0,46.89
2,100.0,50.41,100.0,100.0,100.0,57.47,100.0,54.25
3,100.0,57.58,100.0,100.0,100.0,62.33,100.0,60.17
4,33.33,63.64,33.33,33.33,33.33,66.49,33.33,65.15
5,100.0,65.1,100.0,100.0,100.0,68.61,100.0,66.94
6,0.0,67.26,0.0,0.0,0.0,68.06,0.0,67.66
7,60.0,72.75,60.0,60.0,60.0,74.09,60.0,73.44
8,80.0,76.43,80.0,80.0,80.0,71.67,80.0,73.8
9,48.28,61.33,48.28,48.28,48.28,63.48,48.28,62.47
