,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,50.0,52.63,50.0,50.0,50.0,52.44,50.0,52.53
1,0.0,38.97,0.0,0.0,0.0,39.12,0.0,39.02
2,25.0,58.84,25.0,25.0,25.0,59.42,25.0,59.12
3,0.0,49.61,0.0,0.0,0.0,53.77,0.0,51.81
4,28.57,62.77,28.57,28.57,28.57,62.91,28.57,62.77
5,,76.22,,,,72.84,,74.54
6,,66.54,,,,63.25,,64.8
7,50.0,60.23,50.0,50.0,50.0,60.4,50.0,60.31
8,,61.37,,,,62.1,,61.75
9,,63.27,,,,67.12,,65.1
10,100.0,65.06,100.0,100.0,100.0,60.69,100.0,62.78
11,,inf,,,,100.0,,200.0
12,36.84,58.36,36.84,36.84,36.84,58.08,36.84,58.18
